date,time,charging_power_kW,meter_id
1,1,0,1056
1,2,0,1056
1,3,0,1056
1,4,0,1056
1,5,0,1056
1,6,0,1056
1,7,0,1056
1,8,0,1056
1,9,0,1056
1,10,0,1056
1,11,0,1056
1,12,0,1056
1,13,0,1056
1,14,0,1056
1,15,0,1056
1,16,0,1056
1,17,0,1056
1,18,0,1056
1,19,0,1056
1,20,0,1056
1,21,0,1056
1,22,0,1056
1,23,0,1056
1,24,0,1056
1,25,0,1056
1,26,0,1056
1,27,0,1056
1,28,0,1056
1,29,0,1056
1,30,0,1056
1,31,0,1056
1,32,11,1056
1,33,11,1056
1,34,11,1056
1,35,11,1056
1,36,11,1056
1,37,11,1056
1,38,0,1056
1,39,0,1056
1,40,0,1056
1,41,0,1056
1,42,0,1056
1,43,0,1056
1,44,0,1056
1,45,0,1056
1,46,0,1056
1,47,0,1056
1,48,0,1056
1,49,0,1056
1,50,0,1056
1,51,0,1056
1,52,0,1056
1,53,0,1056
1,54,0,1056
1,55,0,1056
1,56,0,1056
1,57,0,1056
1,58,0,1056
1,59,0,1056
1,60,0,1056
1,61,0,1056
1,62,0,1056
1,63,0,1056
1,64,0,1056
1,65,0,1056
1,66,0,1056
1,67,0,1056
1,68,0,1056
1,69,0,1056
1,70,0,1056
1,71,0,1056
1,72,0,1056
1,73,0,1056
1,74,0,1056
1,75,0,1056
1,76,0,1056
1,77,0,1056
1,78,0,1056
1,79,0,1056
1,80,0,1056
1,81,0,1056
1,82,0,1056
1,83,0,1056
1,84,0,1056
1,85,0,1056
1,86,0,1056
1,87,0,1056
1,88,0,1056
1,89,0,1056
1,90,0,1056
1,91,0,1056
1,92,0,1056
1,93,0,1056
1,94,0,1056
1,95,0,1056
1,96,0,1056
2,1,0,1056
2,2,0,1056
2,3,0,1056
2,4,0,1056
2,5,0,1056
2,6,0,1056
2,7,0,1056
2,8,0,1056
2,9,0,1056
2,10,0,1056
2,11,0,1056
2,12,0,1056
2,13,0,1056
2,14,0,1056
2,15,0,1056
2,16,0,1056
2,17,0,1056
2,18,0,1056
2,19,0,1056
2,20,0,1056
2,21,0,1056
2,22,0,1056
2,23,0,1056
2,24,0,1056
2,25,0,1056
2,26,0,1056
2,27,0,1056
2,28,0,1056
2,29,0,1056
2,30,0,1056
2,31,0,1056
2,32,0,1056
2,33,0,1056
2,34,0,1056
2,35,0,1056
2,36,0,1056
2,37,0,1056
2,38,0,1056
2,39,0,1056
2,40,0,1056
2,41,0,1056
2,42,0,1056
2,43,0,1056
2,44,0,1056
2,45,0,1056
2,46,0,1056
2,47,0,1056
2,48,0,1056
2,49,0,1056
2,50,0,1056
2,51,0,1056
2,52,0,1056
2,53,0,1056
2,54,0,1056
2,55,0,1056
2,56,0,1056
2,57,0,1056
2,58,0,1056
2,59,0,1056
2,60,0,1056
2,61,0,1056
2,62,0,1056
2,63,0,1056
2,64,0,1056
2,65,0,1056
2,66,0,1056
2,67,0,1056
2,68,0,1056
2,69,0,1056
2,70,0,1056
2,71,0,1056
2,72,0,1056
2,73,0,1056
2,74,0,1056
2,75,0,1056
2,76,0,1056
2,77,0,1056
2,78,0,1056
2,79,0,1056
2,80,0,1056
2,81,0,1056
2,82,0,1056
2,83,0,1056
2,84,0,1056
2,85,0,1056
