meter_id,five_digit_code,consumption_kW,date,time
1163,36601,4.322,1,1
1163,36602,4.322,1,2
1163,36603,4.398,1,3
1163,36604,4.398,1,4
1163,36605,5.284,1,5
1163,36606,5.284,1,6
1163,36607,5.346,1,7
1163,36608,5.346,1,8
1163,36609,5.448,1,9
1163,36610,5.448,1,10
1163,36611,3.39,1,11
1163,36612,3.39,1,12
1163,36613,5.358,1,13
1163,36614,5.358,1,14
1163,36615,5.422,1,15
1163,36616,5.422,1,16
1163,36617,5.486,1,17
1163,36618,5.486,1,18
1163,36619,5.522,1,19
1163,36620,5.522,1,20
1163,36621,5.546,1,21
1163,36622,5.546,1,22
1163,36623,5.362,1,23
1163,36624,5.362,1,24
1163,36625,3.394,1,25
1163,36626,3.394,1,26
1163,36627,5.402,1,27
1163,36628,5.402,1,28
1163,36629,6.006,1,29
1163,36630,6.006,1,30
1163,36631,3.71,1,31
1163,36632,3.71,1,32
1163,36633,5.186,1,33
1163,36634,5.186,1,34
1163,36635,5.39,1,35
1163,36636,5.39,1,36
1163,36637,3.858,1,37
1163,36638,3.858,1,38
1163,36639,4.582,1,39
1163,36640,4.582,1,40
1163,36641,5.292,1,41
1163,36642,5.292,1,42
1163,36643,3.726,1,43
1163,36644,3.726,1,44
1163,36645,4.728,1,45
1163,36646,4.728,1,46
1163,36647,5.324,1,47
1163,36648,5.324,1,48
1163,36649,3.358,1,49
1163,36650,3.358,1,50
1163,36651,5.286,1,51
1163,36652,5.286,1,52
1163,36653,3.972,1,53
1163,36654,3.972,1,54
1163,36655,4.718,1,55
1163,36656,4.718,1,56
1163,36657,5.352,1,57
1163,36658,5.352,1,58
1163,36659,3.394,1,59
1163,36660,3.394,1,60
1163,36661,5.244,1,61
1163,36662,5.244,1,62
1163,36663,5.538,1,63
1163,36664,5.538,1,64
1163,36665,3.906,1,65
1163,36666,3.906,1,66
1163,36667,5.242,1,67
1163,36668,5.242,1,68
1163,36669,5.318,1,69
1163,36670,5.318,1,70
1163,36671,5.364,1,71
1163,36672,5.364,1,72
1163,36673,5.382,1,73
1163,36674,5.382,1,74
1163,36675,5.412,1,75
1163,36676,5.412,1,76
1163,36677,3.098,1,77
1163,36678,3.098,1,78
1163,36679,5.254,1,79
1163,36680,5.254,1,80
1163,36681,5.348,1,81
1163,36682,5.348,1,82
1163,36683,5.392,1,83
1163,36684,5.392,1,84
