meter_id,five_digit_code,consumption_kW,date,time
1118,36601,0.63,1,1
1118,36602,0.63,1,2
1118,36603,0.478,1,3
1118,36604,0.478,1,4
1118,36605,0.478,1,5
1118,36606,0.478,1,6
1118,36607,0.43,1,7
1118,36608,0.43,1,8
1118,36609,0.622,1,9
1118,36610,0.622,1,10
1118,36611,0.552,1,11
1118,36612,0.552,1,12
1118,36613,0.388,1,13
1118,36614,0.388,1,14
1118,36615,0.24,1,15
1118,36616,0.24,1,16
1118,36617,0.164,1,17
1118,36618,0.164,1,18
1118,36619,0.266,1,19
1118,36620,0.266,1,20
1118,36621,0.342,1,21
1118,36622,0.342,1,22
1118,36623,0.14,1,23
1118,36624,0.14,1,24
1118,36625,0.14,1,25
1118,36626,0.14,1,26
1118,36627,0.138,1,27
1118,36628,0.138,1,28
1118,36629,0.138,1,29
1118,36630,0.138,1,30
1118,36631,0.314,1,31
1118,36632,0.314,1,32
1118,36633,0.304,1,33
1118,36634,0.304,1,34
1118,36635,0.228,1,35
1118,36636,0.228,1,36
1118,36637,0.226,1,37
1118,36638,0.226,1,38
1118,36639,0.23,1,39
1118,36640,0.23,1,40
1118,36641,0.222,1,41
1118,36642,0.222,1,42
1118,36643,0.61,1,43
1118,36644,0.61,1,44
1118,36645,1.466,1,45
1118,36646,1.466,1,46
1118,36647,0.408,1,47
1118,36648,0.408,1,48
1118,36649,0.416,1,49
1118,36650,0.416,1,50
1118,36651,0.39,1,51
1118,36652,0.39,1,52
1118,36653,0.406,1,53
1118,36654,0.406,1,54
1118,36655,7.368,1,55
1118,36656,7.368,1,56
1118,36657,2.468,1,57
1118,36658,2.468,1,58
1118,36659,0.822,1,59
1118,36660,0.822,1,60
1118,36661,0.562,1,61
1118,36662,0.562,1,62
1118,36663,0.764,1,63
1118,36664,0.764,1,64
1118,36665,1.124,1,65
1118,36666,1.124,1,66
1118,36667,0.756,1,67
1118,36668,0.756,1,68
1118,36669,1.014,1,69
1118,36670,1.014,1,70
1118,36671,1.222,1,71
1118,36672,1.222,1,72
1118,36673,2.144,1,73
1118,36674,2.144,1,74
1118,36675,1.31,1,75
1118,36676,1.31,1,76
1118,36677,1.066,1,77
1118,36678,1.066,1,78
1118,36679,1.806,1,79
1118,36680,1.806,1,80
1118,36681,1.052,1,81
1118,36682,1.052,1,82
1118,36683,0.806,1,83
1118,36684,0.806,1,84
1118,36685,0.752,1,85
1118,36686,0.752,1,86
1118,36687,0.824,1,87
1118,36688,0.824,1,88
1118,36689,1.098,1,89
1118,36690,1.098,1,90
1118,36691,0.734,1,91
1118,36692,0.734,1,92
1118,36693,0.608,1,93
1118,36694,0.608,1,94
1118,36695,0.416,1,95
1118,36696,0.416,1,96
1118,36701,0.554,2,1
1118,36702,0.554,2,2
1118,36703,0.426,2,3
1118,36704,0.426,2,4
1118,36705,0.34,2,5
1118,36706,0.34,2,6
1118,36707,0.334,2,7
1118,36708,0.334,2,8
1118,36709,0.434,2,9
1118,36710,0.434,2,10
1118,36711,0.51,2,11
1118,36712,0.51,2,12
1118,36713,0.334,2,13
1118,36714,0.334,2,14
1118,36715,0.24,2,15
1118,36716,0.24,2,16
1118,36717,0.138,2,17
1118,36718,0.138,2,18
1118,36719,0.268,2,19
1118,36720,0.268,2,20
1118,36721,0.288,2,21
1118,36722,0.288,2,22
1118,36723,0.14,2,23
1118,36724,0.14,2,24
1118,36725,0.14,2,25
1118,36726,0.14,2,26
1118,36727,0.138,2,27
1118,36728,0.138,2,28
1118,36729,0.196,2,29
1118,36730,0.196,2,30
1118,36731,0.342,2,31
1118,36732,0.342,2,32
1118,36733,0.19,2,33
1118,36734,0.19,2,34
1118,36735,0.226,2,35
1118,36736,0.226,2,36
1118,36737,0.224,2,37
1118,36738,0.224,2,38
1118,36739,0.236,2,39
1118,36740,0.236,2,40
1118,36741,0.304,2,41
1118,36742,0.304,2,42
1118,36743,0.922,2,43
1118,36744,0.922,2,44
1118,36745,0.464,2,45
1118,36746,0.464,2,46
1118,36747,0.224,2,47
1118,36748,0.224,2,48
1118,36749,0.402,2,49
1118,36750,0.402,2,50
1118,36751,1.402,2,51
1118,36752,1.402,2,52
1118,36753,0.612,2,53
1118,36754,0.612,2,54
1118,36755,0.83,2,55
1118,36756,0.83,2,56
1118,36757,1.374,2,57
1118,36758,1.374,2,58
1118,36759,3.71,2,59
1118,36760,3.71,2,60
1118,36761,6.328,2,61
1118,36762,6.328,2,62
1118,36763,9.6,2,63
1118,36764,9.6,2,64
1118,36765,4.668,2,65
1118,36766,4.668,2,66
1118,36767,1.626,2,67
1118,36768,1.626,2,68
1118,36769,0.67,2,69
1118,36770,0.67,2,70
1118,36771,0.34,2,71
1118,36772,0.34,2,72
1118,36773,0.336,2,73
1118,36774,0.336,2,74
1118,36775,0.394,2,75
1118,36776,0.394,2,76
1118,36777,0.544,2,77
1118,36778,0.544,2,78
1118,36779,0.384,2,79
1118,36780,0.384,2,80
1118,36781,0.332,2,81
1118,36782,0.332,2,82
1118,36783,0.332,2,83
1118,36784,0.332,2,84
1118,36785,0.378,2,85
1118,36786,0.378,2,86
1118,36787,0.544,2,87
1118,36788,0.544,2,88
1118,36789,0.396,2,89
1118,36790,0.396,2,90
1118,36791,0.336,2,91
1118,36792,0.336,2,92
1118,36793,0.434,2,93
1118,36794,0.434,2,94
1118,36795,0.436,2,95
1118,36796,0.436,2,96
1118,36801,0.444,3,1
1118,36802,0.444,3,2
1118,36803,0.258,3,3
1118,36804,0.258,3,4
1118,36805,0.238,3,5
1118,36806,0.238,3,6
1118,36807,0.224,3,7
1118,36808,0.224,3,8
1118,36809,0.232,3,9
1118,36810,0.232,3,10
1118,36811,0.362,3,11
1118,36812,0.362,3,12
1118,36813,0.21,3,13
1118,36814,0.21,3,14
1118,36815,0.144,3,15
1118,36816,0.144,3,16
1118,36817,0.144,3,17
1118,36818,0.144,3,18
1118,36819,0.144,3,19
1118,36820,0.144,3,20
1118,36821,0.192,3,21
1118,36822,0.192,3,22
1118,36823,0.356,3,23
1118,36824,0.356,3,24
1118,36825,0.186,3,25
1118,36826,0.186,3,26
1118,36827,0.144,3,27
1118,36828,0.144,3,28
1118,36829,0.144,3,29
1118,36830,0.144,3,30
1118,36831,0.144,3,31
1118,36832,0.144,3,32
1118,36833,0.274,3,33
1118,36834,0.274,3,34
1118,36835,0.494,3,35
1118,36836,0.494,3,36
1118,36837,0.588,3,37
1118,36838,0.588,3,38
1118,36839,0.814,3,39
1118,36840,0.814,3,40
1118,36841,0.32,3,41
1118,36842,0.32,3,42
1118,36843,0.33,3,43
1118,36844,0.33,3,44
1118,36845,0.336,3,45
1118,36846,0.336,3,46
1118,36847,0.83,3,47
1118,36848,0.83,3,48
1118,36849,0.882,3,49
1118,36850,0.882,3,50
1118,36851,1.018,3,51
1118,36852,1.018,3,52
1118,36853,0.81,3,53
1118,36854,0.81,3,54
1118,36855,1.634,3,55
1118,36856,1.634,3,56
1118,36857,0.656,3,57
1118,36858,0.656,3,58
1118,36859,2.756,3,59
1118,36860,2.756,3,60
1118,36861,2.66,3,61
1118,36862,2.66,3,62
1118,36863,0.97,3,63
1118,36864,0.97,3,64
1118,36865,0.84,3,65
1118,36866,0.84,3,66
1118,36867,1.024,3,67
1118,36868,1.024,3,68
1118,36869,1.696,3,69
1118,36870,1.696,3,70
1118,36871,2.312,3,71
1118,36872,2.312,3,72
1118,36873,1.816,3,73
1118,36874,1.816,3,74
1118,36875,1.402,3,75
1118,36876,1.402,3,76
1118,36877,2.6,3,77
1118,36878,2.6,3,78
1118,36879,1.974,3,79
1118,36880,1.974,3,80
1118,36881,1.78,3,81
1118,36882,1.78,3,82
1118,36883,1.4,3,83
1118,36884,1.4,3,84
1118,36885,1.108,3,85
1118,36886,1.108,3,86
1118,36887,1.322,3,87
1118,36888,1.322,3,88
1118,36889,1.256,3,89
1118,36890,1.256,3,90
1118,36891,1.176,3,91
1118,36892,1.176,3,92
1118,36893,1.042,3,93
1118,36894,1.042,3,94
1118,36895,1.052,3,95
1118,36896,1.052,3,96
1118,36901,0.378,4,1
1118,36902,0.378,4,2
1118,36903,0.228,4,3
1118,36904,0.228,4,4
1118,36905,0.196,4,5
1118,36906,0.196,4,6
1118,36907,0.276,4,7
1118,36908,0.276,4,8
1118,36909,0.378,4,9
1118,36910,0.378,4,10
1118,36911,0.192,4,11
1118,36912,0.192,4,12
1118,36913,0.192,4,13
1118,36914,0.192,4,14
1118,36915,0.19,4,15
1118,36916,0.19,4,16
1118,36917,0.312,4,17
1118,36918,0.312,4,18
1118,36919,0.344,4,19
1118,36920,0.344,4,20
1118,36921,0.19,4,21
1118,36922,0.19,4,22
1118,36923,0.204,4,23
1118,36924,0.204,4,24
1118,36925,0.196,4,25
1118,36926,0.196,4,26
1118,36927,0.254,4,27
1118,36928,0.254,4,28
1118,36929,0.836,4,29
1118,36930,0.836,4,30
1118,36931,0.21,4,31
1118,36932,0.21,4,32
1118,36933,0.15,4,33
1118,36934,0.15,4,34
1118,36935,0.148,4,35
1118,36936,0.148,4,36
1118,36937,0.148,4,37
1118,36938,0.148,4,38
1118,36939,0.57,4,39
1118,36940,0.57,4,40
1118,36941,0.688,4,41
1118,36942,0.688,4,42
1118,36943,0.218,4,43
1118,36944,0.218,4,44
1118,36945,3.452,4,45
1118,36946,3.452,4,46
1118,36947,0.53,4,47
1118,36948,0.53,4,48
1118,36949,0.464,4,49
1118,36950,0.464,4,50
1118,36951,0.42,4,51
1118,36952,0.42,4,52
1118,36953,0.782,4,53
1118,36954,0.782,4,54
1118,36955,0.63,4,55
1118,36956,0.63,4,56
1118,36957,1.108,4,57
1118,36958,1.108,4,58
1118,36959,0.856,4,59
1118,36960,0.856,4,60
1118,36961,0.456,4,61
1118,36962,0.456,4,62
1118,36963,0.578,4,63
1118,36964,0.578,4,64
1118,36965,0.702,4,65
1118,36966,0.702,4,66
1118,36967,0.568,4,67
1118,36968,0.568,4,68
1118,36969,1.85,4,69
1118,36970,1.85,4,70
1118,36971,1.584,4,71
1118,36972,1.584,4,72
1118,36973,1.376,4,73
1118,36974,1.376,4,74
1118,36975,2.05,4,75
1118,36976,2.05,4,76
1118,36977,1.742,4,77
1118,36978,1.742,4,78
1118,36979,1.918,4,79
1118,36980,1.918,4,80
1118,36981,1.744,4,81
1118,36982,1.744,4,82
1118,36983,1.37,4,83
1118,36984,1.37,4,84
1118,36985,1.232,4,85
1118,36986,1.232,4,86
1118,36987,1.208,4,87
1118,36988,1.208,4,88
1118,36989,1.324,4,89
1118,36990,1.324,4,90
1118,36991,1.354,4,91
1118,36992,1.354,4,92
1118,36993,1.424,4,93
1118,36994,1.424,4,94
1118,36995,0.554,4,95
1118,36996,0.554,4,96
1118,37001,0.208,5,1
1118,37002,0.208,5,2
1118,37003,0.192,5,3
1118,37004,0.192,5,4
1118,37005,0.358,5,5
1118,37006,0.358,5,6
1118,37007,0.312,5,7
1118,37008,0.312,5,8
1118,37009,0.18,5,9
1118,37010,0.18,5,10
1118,37011,0.176,5,11
1118,37012,0.176,5,12
1118,37013,0.176,5,13
1118,37014,0.176,5,14
1118,37015,0.32,5,15
1118,37016,0.32,5,16
1118,37017,0.324,5,17
1118,37018,0.324,5,18
1118,37019,0.176,5,19
1118,37020,0.176,5,20
1118,37021,0.176,5,21
1118,37022,0.176,5,22
1118,37023,0.186,5,23
1118,37024,0.186,5,24
1118,37025,0.19,5,25
1118,37026,0.19,5,26
1118,37027,0.392,5,27
1118,37028,0.392,5,28
1118,37029,0.644,5,29
1118,37030,0.644,5,30
1118,37031,0.714,5,31
1118,37032,0.714,5,32
1118,37033,0.162,5,33
1118,37034,0.162,5,34
1118,37035,0.65,5,35
1118,37036,0.65,5,36
1118,37037,0.172,5,37
1118,37038,0.172,5,38
1118,37039,0.376,5,39
1118,37040,0.376,5,40
1118,37041,0.234,5,41
1118,37042,0.234,5,42
1118,37043,0.162,5,43
1118,37044,0.162,5,44
1118,37045,0.16,5,45
1118,37046,0.16,5,46
1118,37047,0.286,5,47
1118,37048,0.286,5,48
1118,37049,0.362,5,49
1118,37050,0.362,5,50
1118,37051,0.568,5,51
1118,37052,0.568,5,52
1118,37053,0.862,5,53
1118,37054,0.862,5,54
1118,37055,0.766,5,55
1118,37056,0.766,5,56
1118,37057,2.264,5,57
1118,37058,2.264,5,58
1118,37059,2.358,5,59
1118,37060,2.358,5,60
1118,37061,3.68,5,61
1118,37062,3.68,5,62
1118,37063,3.108,5,63
1118,37064,3.108,5,64
1118,37065,1.628,5,65
1118,37066,1.628,5,66
1118,37067,0.556,5,67
1118,37068,0.556,5,68
1118,37069,1.216,5,69
1118,37070,1.216,5,70
1118,37071,1.84,5,71
1118,37072,1.84,5,72
1118,37073,1.636,5,73
1118,37074,1.636,5,74
1118,37075,1.41,5,75
1118,37076,1.41,5,76
1118,37077,1.172,5,77
1118,37078,1.172,5,78
1118,37079,1.852,5,79
1118,37080,1.852,5,80
1118,37081,1.992,5,81
