meter_id,five_digit_code,consumption_kW,date,time
1168,36601,0.852,1,1
1168,36602,0.852,1,2
1168,36603,0.814,1,3
1168,36604,0.814,1,4
1168,36605,0.466,1,5
1168,36606,0.466,1,6
1168,36607,0.472,1,7
1168,36608,0.472,1,8
1168,36609,0.528,1,9
1168,36610,0.528,1,10
1168,36611,0.378,1,11
1168,36612,0.378,1,12
1168,36613,0.302,1,13
1168,36614,0.302,1,14
1168,36615,0.208,1,15
1168,36616,0.208,1,16
1168,36617,0.206,1,17
1168,36618,0.206,1,18
1168,36619,0.382,1,19
1168,36620,0.382,1,20
1168,36621,0.208,1,21
1168,36622,0.208,1,22
1168,36623,0.21,1,23
1168,36624,0.21,1,24
1168,36625,0.296,1,25
1168,36626,0.296,1,26
1168,36627,0.27,1,27
1168,36628,0.27,1,28
1168,36629,0.246,1,29
1168,36630,0.246,1,30
1168,36631,0.332,1,31
1168,36632,0.332,1,32
1168,36633,0.276,1,33
1168,36634,0.276,1,34
1168,36635,0.186,1,35
1168,36636,0.186,1,36
1168,36637,0.31,1,37
1168,36638,0.31,1,38
1168,36639,1.624,1,39
1168,36640,1.624,1,40
1168,36641,0.364,1,41
1168,36642,0.364,1,42
1168,36643,0.244,1,43
1168,36644,0.244,1,44
1168,36645,1.416,1,45
1168,36646,1.416,1,46
1168,36647,2.416,1,47
1168,36648,2.416,1,48
1168,36649,1.858,1,49
1168,36650,1.858,1,50
1168,36651,2.326,1,51
1168,36652,2.326,1,52
1168,36653,5.966,1,53
1168,36654,5.966,1,54
1168,36655,7.068,1,55
1168,36656,7.068,1,56
1168,36657,4.926,1,57
1168,36658,4.926,1,58
1168,36659,6.016,1,59
1168,36660,6.016,1,60
1168,36661,7.998,1,61
1168,36662,7.998,1,62
1168,36663,6.53,1,63
1168,36664,6.53,1,64
1168,36665,6.844,1,65
1168,36666,6.844,1,66
1168,36667,8.042,1,67
1168,36668,8.042,1,68
1168,36669,6.22,1,69
1168,36670,6.22,1,70
1168,36671,6.174,1,71
1168,36672,6.174,1,72
1168,36673,6.034,1,73
1168,36674,6.034,1,74
1168,36675,5.19,1,75
1168,36676,5.19,1,76
1168,36677,3.39,1,77
1168,36678,3.39,1,78
1168,36679,2.734,1,79
1168,36680,2.734,1,80
1168,36681,5.13,1,81
1168,36682,5.13,1,82
1168,36683,3.562,1,83
1168,36684,3.562,1,84
1168,36685,3.608,1,85
1168,36686,3.608,1,86
1168,36687,3.324,1,87
1168,36688,3.324,1,88
1168,36689,4.456,1,89
1168,36690,4.456,1,90
1168,36691,4.586,1,91
1168,36692,4.586,1,92
1168,36693,1.558,1,93
1168,36694,1.558,1,94
1168,36695,0.698,1,95
1168,36696,0.698,1,96
1168,36701,0.634,2,1
1168,36702,0.634,2,2
1168,36703,0.288,2,3
1168,36704,0.288,2,4
1168,36705,0.358,2,5
1168,36706,0.358,2,6
1168,36707,0.336,2,7
1168,36708,0.336,2,8
1168,36709,0.32,2,9
1168,36710,0.32,2,10
1168,36711,0.348,2,11
1168,36712,0.348,2,12
1168,36713,0.278,2,13
1168,36714,0.278,2,14
1168,36715,0.326,2,15
1168,36716,0.326,2,16
1168,36717,0.354,2,17
1168,36718,0.354,2,18
1168,36719,0.312,2,19
1168,36720,0.312,2,20
1168,36721,0.33,2,21
1168,36722,0.33,2,22
1168,36723,0.564,2,23
1168,36724,0.564,2,24
1168,36725,0.252,2,25
1168,36726,0.252,2,26
1168,36727,1.44,2,27
1168,36728,1.44,2,28
1168,36729,0.744,2,29
1168,36730,0.744,2,30
1168,36731,0.706,2,31
1168,36732,0.706,2,32
1168,36733,0.59,2,33
1168,36734,0.59,2,34
1168,36735,0.242,2,35
1168,36736,0.242,2,36
1168,36737,0.24,2,37
1168,36738,0.24,2,38
