meter_id,five_digit_code,consumption_kW,date,time
1122,36601,1.118,1,1
1122,36602,1.118,1,2
1122,36603,0.494,1,3
1122,36604,0.494,1,4
1122,36605,0.196,1,5
1122,36606,0.196,1,6
1122,36607,0.144,1,7
1122,36608,0.144,1,8
1122,36609,0.312,1,9
1122,36610,0.312,1,10
1122,36611,0.18,1,11
1122,36612,0.18,1,12
1122,36613,0.116,1,13
1122,36614,0.116,1,14
1122,36615,0.358,1,15
1122,36616,0.358,1,16
1122,36617,0.258,1,17
1122,36618,0.258,1,18
1122,36619,0.394,1,19
1122,36620,0.394,1,20
1122,36621,0.43,1,21
1122,36622,0.43,1,22
1122,36623,0.376,1,23
1122,36624,0.376,1,24
1122,36625,0.234,1,25
1122,36626,0.234,1,26
1122,36627,0.212,1,27
1122,36628,0.212,1,28
1122,36629,1.668,1,29
1122,36630,1.668,1,30
1122,36631,1.188,1,31
1122,36632,1.188,1,32
1122,36633,0.862,1,33
1122,36634,0.862,1,34
1122,36635,1.106,1,35
1122,36636,1.106,1,36
1122,36637,0.85,1,37
1122,36638,0.85,1,38
1122,36639,1.652,1,39
1122,36640,1.652,1,40
1122,36641,1.214,1,41
1122,36642,1.214,1,42
1122,36643,0.938,1,43
1122,36644,0.938,1,44
1122,36645,0.472,1,45
1122,36646,0.472,1,46
1122,36647,0.734,1,47
1122,36648,0.734,1,48
1122,36649,0.544,1,49
1122,36650,0.544,1,50
1122,36651,0.486,1,51
1122,36652,0.486,1,52
1122,36653,1.01,1,53
1122,36654,1.01,1,54
1122,36655,1.182,1,55
1122,36656,1.182,1,56
1122,36657,0.682,1,57
1122,36658,0.682,1,58
1122,36659,0.852,1,59
1122,36660,0.852,1,60
1122,36661,0.71,1,61
1122,36662,0.71,1,62
1122,36663,0.708,1,63
1122,36664,0.708,1,64
1122,36665,0.83,1,65
1122,36666,0.83,1,66
1122,36667,1.232,1,67
1122,36668,1.232,1,68
1122,36669,0.842,1,69
1122,36670,0.842,1,70
1122,36671,0.874,1,71
1122,36672,0.874,1,72
1122,36673,0.902,1,73
1122,36674,0.902,1,74
1122,36675,1.002,1,75
1122,36676,1.002,1,76
1122,36677,0.766,1,77
1122,36678,0.766,1,78
1122,36679,0.984,1,79
1122,36680,0.984,1,80
1122,36681,0.668,1,81
1122,36682,0.668,1,82
1122,36683,0.562,1,83
1122,36684,0.562,1,84
1122,36685,1.276,1,85
1122,36686,1.276,1,86
1122,36687,2.292,1,87
1122,36688,2.292,1,88
1122,36689,6.264,1,89
1122,36690,6.264,1,90
1122,36691,4.312,1,91
1122,36692,4.312,1,92
1122,36693,1.176,1,93
1122,36694,1.176,1,94
1122,36695,1.31,1,95
1122,36696,1.31,1,96
1122,36701,0.674,2,1
1122,36702,0.674,2,2
1122,36703,0.162,2,3
1122,36704,0.162,2,4
1122,36705,0.278,2,5
1122,36706,0.278,2,6
1122,36707,0.21,2,7
1122,36708,0.21,2,8
1122,36709,0.2,2,9
1122,36710,0.2,2,10
1122,36711,0.182,2,11
1122,36712,0.182,2,12
1122,36713,0.27,2,13
1122,36714,0.27,2,14
1122,36715,0.204,2,15
1122,36716,0.204,2,16
