meter_id,five_digit_code,consumption_kW,date,time
1096,36601,0.182,1,1
1096,36602,0.182,1,2
1096,36603,0.198,1,3
1096,36604,0.198,1,4
1096,36605,0.196,1,5
1096,36606,0.196,1,6
1096,36607,0.202,1,7
1096,36608,0.202,1,8
1096,36609,0.184,1,9
1096,36610,0.184,1,10
1096,36611,0.188,1,11
1096,36612,0.188,1,12
1096,36613,0.172,1,13
1096,36614,0.172,1,14
1096,36615,0.176,1,15
1096,36616,0.176,1,16
1096,36617,0.18,1,17
1096,36618,0.18,1,18
1096,36619,0.182,1,19
1096,36620,0.182,1,20
1096,36621,0.186,1,21
1096,36622,0.186,1,22
1096,36623,0.202,1,23
1096,36624,0.202,1,24
1096,36625,0.494,1,25
1096,36626,0.494,1,26
1096,36627,0.522,1,27
1096,36628,0.522,1,28
1096,36629,0.446,1,29
1096,36630,0.446,1,30
1096,36631,0.364,1,31
1096,36632,0.364,1,32
1096,36633,0.182,1,33
1096,36634,0.182,1,34
1096,36635,0.182,1,35
1096,36636,0.182,1,36
1096,36637,0.18,1,37
1096,36638,0.18,1,38
1096,36639,0.188,1,39
1096,36640,0.188,1,40
1096,36641,0.198,1,41
1096,36642,0.198,1,42
1096,36643,0.196,1,43
1096,36644,0.196,1,44
1096,36645,0.19,1,45
1096,36646,0.19,1,46
1096,36647,0.176,1,47
1096,36648,0.176,1,48
1096,36649,0.176,1,49
1096,36650,0.176,1,50
1096,36651,0.174,1,51
1096,36652,0.174,1,52
1096,36653,0.17,1,53
1096,36654,0.17,1,54
1096,36655,0.178,1,55
1096,36656,0.178,1,56
1096,36657,0.18,1,57
1096,36658,0.18,1,58
1096,36659,0.168,1,59
1096,36660,0.168,1,60
1096,36661,0.18,1,61
1096,36662,0.18,1,62
1096,36663,0.188,1,63
1096,36664,0.188,1,64
1096,36665,0.196,1,65
1096,36666,0.196,1,66
1096,36667,0.182,1,67
1096,36668,0.182,1,68
1096,36669,0.174,1,69
1096,36670,0.174,1,70
1096,36671,0.166,1,71
1096,36672,0.166,1,72
1096,36673,0.172,1,73
1096,36674,0.172,1,74
1096,36675,0.172,1,75
1096,36676,0.172,1,76
1096,36677,0.236,1,77
1096,36678,0.236,1,78
1096,36679,0.862,1,79
1096,36680,0.862,1,80
1096,36681,0.726,1,81
1096,36682,0.726,1,82
1096,36683,0.436,1,83
1096,36684,0.436,1,84
1096,36685,0.18,1,85
1096,36686,0.18,1,86
1096,36687,0.176,1,87
1096,36688,0.176,1,88
1096,36689,0.178,1,89
1096,36690,0.178,1,90
1096,36691,0.194,1,91
1096,36692,0.194,1,92
1096,36693,0.196,1,93
1096,36694,0.196,1,94
1096,36695,0.194,1,95
1096,36696,0.194,1,96
1096,36701,0.18,2,1
1096,36702,0.18,2,2
1096,36703,0.174,2,3
1096,36704,0.174,2,4
1096,36705,0.176,2,5
1096,36706,0.176,2,6
1096,36707,0.176,2,7
1096,36708,0.176,2,8
1096,36709,0.178,2,9
1096,36710,0.178,2,10
1096,36711,0.176,2,11
1096,36712,0.176,2,12
1096,36713,0.178,2,13
1096,36714,0.178,2,14
1096,36715,0.198,2,15
1096,36716,0.198,2,16
1096,36717,0.194,2,17
1096,36718,0.194,2,18
1096,36719,0.194,2,19
1096,36720,0.194,2,20
1096,36721,0.178,2,21
1096,36722,0.178,2,22
1096,36723,0.178,2,23
1096,36724,0.178,2,24
1096,36725,0.46,2,25
1096,36726,0.46,2,26
1096,36727,0.512,2,27
1096,36728,0.512,2,28
1096,36729,0.456,2,29
1096,36730,0.456,2,30
1096,36731,0.338,2,31
1096,36732,0.338,2,32
1096,36733,0.174,2,33
1096,36734,0.174,2,34
1096,36735,0.174,2,35
1096,36736,0.174,2,36
1096,36737,0.174,2,37
1096,36738,0.174,2,38
1096,36739,0.192,2,39
1096,36740,0.192,2,40
1096,36741,0.192,2,41
1096,36742,0.192,2,42
1096,36743,0.188,2,43
1096,36744,0.188,2,44
1096,36745,0.176,2,45
1096,36746,0.176,2,46
1096,36747,0.172,2,47
1096,36748,0.172,2,48
1096,36749,0.17,2,49
1096,36750,0.17,2,50
1096,36751,0.174,2,51
