meter_id,five_digit_code,consumption_kW,date,time
1153,36601,2.186,1,1
1153,36602,2.186,1,2
1153,36603,1.49,1,3
1153,36604,1.49,1,4
1153,36605,2.704,1,5
1153,36606,2.704,1,6
1153,36607,4.452,1,7
1153,36608,4.452,1,8
1153,36609,0.766,1,9
1153,36610,0.766,1,10
1153,36611,0.46,1,11
1153,36612,0.46,1,12
1153,36613,0.454,1,13
1153,36614,0.454,1,14
1153,36615,0.45,1,15
1153,36616,0.45,1,16
1153,36617,0.45,1,17
1153,36618,0.45,1,18
1153,36619,0.442,1,19
1153,36620,0.442,1,20
1153,36621,0.336,1,21
1153,36622,0.336,1,22
1153,36623,0.302,1,23
1153,36624,0.302,1,24
1153,36625,0.312,1,25
1153,36626,0.312,1,26
1153,36627,0.306,1,27
1153,36628,0.306,1,28
1153,36629,0.466,1,29
1153,36630,0.466,1,30
1153,36631,0.454,1,31
1153,36632,0.454,1,32
1153,36633,0.456,1,33
1153,36634,0.456,1,34
1153,36635,0.458,1,35
1153,36636,0.458,1,36
1153,36637,0.698,1,37
1153,36638,0.698,1,38
1153,36639,1.3,1,39
1153,36640,1.3,1,40
1153,36641,0.762,1,41
1153,36642,0.762,1,42
1153,36643,0.502,1,43
1153,36644,0.502,1,44
1153,36645,1.298,1,45
1153,36646,1.298,1,46
1153,36647,0.746,1,47
1153,36648,0.746,1,48
1153,36649,1.388,1,49
1153,36650,1.388,1,50
1153,36651,0.354,1,51
1153,36652,0.354,1,52
1153,36653,0.308,1,53
1153,36654,0.308,1,54
1153,36655,0.306,1,55
1153,36656,0.306,1,56
1153,36657,0.362,1,57
1153,36658,0.362,1,58
1153,36659,1.344,1,59
1153,36660,1.344,1,60
1153,36661,1.614,1,61
1153,36662,1.614,1,62
1153,36663,1.338,1,63
1153,36664,1.338,1,64
1153,36665,6.456,1,65
1153,36666,6.456,1,66
1153,36667,1.104,1,67
1153,36668,1.104,1,68
1153,36669,1.068,1,69
1153,36670,1.068,1,70
1153,36671,1.486,1,71
1153,36672,1.486,1,72
1153,36673,1.336,1,73
1153,36674,1.336,1,74
1153,36675,0.966,1,75
1153,36676,0.966,1,76
1153,36677,1.008,1,77
