meter_id,five_digit_code,consumption_kW,date,time
1148,36601,1.648,1,1
1148,36602,1.648,1,2
1148,36603,1.548,1,3
1148,36604,1.548,1,4
1148,36605,0.5,1,5
1148,36606,0.5,1,6
1148,36607,0.214,1,7
1148,36608,0.214,1,8
1148,36609,0.184,1,9
1148,36610,0.184,1,10
1148,36611,0.282,1,11
1148,36612,0.282,1,12
1148,36613,0.158,1,13
1148,36614,0.158,1,14
1148,36615,0.17,1,15
1148,36616,0.17,1,16
1148,36617,0.348,1,17
1148,36618,0.348,1,18
1148,36619,0.404,1,19
1148,36620,0.404,1,20
1148,36621,0.174,1,21
1148,36622,0.174,1,22
1148,36623,0.308,1,23
1148,36624,0.308,1,24
1148,36625,0.176,1,25
1148,36626,0.176,1,26
1148,36627,0.176,1,27
1148,36628,0.176,1,28
1148,36629,0.296,1,29
1148,36630,0.296,1,30
1148,36631,0.19,1,31
1148,36632,0.19,1,32
1148,36633,0.174,1,33
1148,36634,0.174,1,34
1148,36635,0.242,1,35
1148,36636,0.242,1,36
1148,36637,0.246,1,37
1148,36638,0.246,1,38
1148,36639,0.44,1,39
1148,36640,0.44,1,40
1148,36641,1.696,1,41
1148,36642,1.696,1,42
1148,36643,3.18,1,43
1148,36644,3.18,1,44
1148,36645,1.882,1,45
1148,36646,1.882,1,46
1148,36647,1.104,1,47
1148,36648,1.104,1,48
1148,36649,1.432,1,49
1148,36650,1.432,1,50
1148,36651,3.036,1,51
1148,36652,3.036,1,52
1148,36653,3.292,1,53
1148,36654,3.292,1,54
1148,36655,3.952,1,55
1148,36656,3.952,1,56
1148,36657,2.942,1,57
1148,36658,2.942,1,58
1148,36659,2.928,1,59
1148,36660,2.928,1,60
1148,36661,2.622,1,61
1148,36662,2.622,1,62
1148,36663,0.91,1,63
1148,36664,0.91,1,64
1148,36665,1.258,1,65
1148,36666,1.258,1,66
1148,36667,0.992,1,67
1148,36668,0.992,1,68
1148,36669,3.364,1,69
1148,36670,3.364,1,70
1148,36671,3.358,1,71
1148,36672,3.358,1,72
1148,36673,8.114,1,73
1148,36674,8.114,1,74
1148,36675,5.236,1,75
1148,36676,5.236,1,76
1148,36677,3.238,1,77
1148,36678,3.238,1,78
1148,36679,3.82,1,79
1148,36680,3.82,1,80
1148,36681,3.068,1,81
1148,36682,3.068,1,82
1148,36683,2.156,1,83
1148,36684,2.156,1,84
1148,36685,1.698,1,85
1148,36686,1.698,1,86
1148,36687,2.196,1,87
1148,36688,2.196,1,88
1148,36689,1.724,1,89
1148,36690,1.724,1,90
1148,36691,1.614,1,91
1148,36692,1.614,1,92
1148,36693,3.596,1,93
1148,36694,3.596,1,94
1148,36695,2.384,1,95
1148,36696,2.384,1,96
1148,36701,1.588,2,1
1148,36702,1.588,2,2
1148,36703,1.374,2,3
1148,36704,1.374,2,4
1148,36705,1.224,2,5
1148,36706,1.224,2,6
1148,36707,0.474,2,7
1148,36708,0.474,2,8
1148,36709,0.18,2,9
1148,36710,0.18,2,10
1148,36711,0.18,2,11
1148,36712,0.18,2,12
1148,36713,0.322,2,13
1148,36714,0.322,2,14
1148,36715,0.236,2,15
1148,36716,0.236,2,16
1148,36717,0.178,2,17
1148,36718,0.178,2,18
1148,36719,0.204,2,19
1148,36720,0.204,2,20
1148,36721,0.318,2,21
1148,36722,0.318,2,22
1148,36723,0.194,2,23
1148,36724,0.194,2,24
1148,36725,1.976,2,25
1148,36726,1.976,2,26
1148,36727,0.93,2,27
1148,36728,0.93,2,28
1148,36729,0.412,2,29
1148,36730,0.412,2,30
1148,36731,0.138,2,31
1148,36732,0.138,2,32
1148,36733,0.138,2,33
1148,36734,0.138,2,34
1148,36735,0.158,2,35
1148,36736,0.158,2,36
1148,36737,0.28,2,37
1148,36738,0.28,2,38
1148,36739,0.156,2,39
1148,36740,0.156,2,40
1148,36741,0.136,2,41
1148,36742,0.136,2,42
1148,36743,0.136,2,43
1148,36744,0.136,2,44
1148,36745,0.23,2,45
1148,36746,0.23,2,46
1148,36747,0.236,2,47
1148,36748,0.236,2,48
1148,36749,0.136,2,49
1148,36750,0.136,2,50
1148,36751,0.216,2,51
1148,36752,0.216,2,52
1148,36753,2.5,2,53
1148,36754,2.5,2,54
1148,36755,2.002,2,55
1148,36756,2.002,2,56
1148,36757,1.63,2,57
1148,36758,1.63,2,58
1148,36759,0.726,2,59
1148,36760,0.726,2,60
1148,36761,1.384,2,61
1148,36762,1.384,2,62
1148,36763,4.532,2,63
1148,36764,4.532,2,64
1148,36765,4.202,2,65
1148,36766,4.202,2,66
1148,36767,4.884,2,67
1148,36768,4.884,2,68
1148,36769,2.248,2,69
1148,36770,2.248,2,70
1148,36771,5.328,2,71
1148,36772,5.328,2,72
1148,36773,5.194,2,73
1148,36774,5.194,2,74
1148,36775,3.548,2,75
1148,36776,3.548,2,76
1148,36777,2.652,2,77
1148,36778,2.652,2,78
1148,36779,1.336,2,79
1148,36780,1.336,2,80
1148,36781,1.842,2,81
1148,36782,1.842,2,82
1148,36783,1.512,2,83
1148,36784,1.512,2,84
1148,36785,1.434,2,85
1148,36786,1.434,2,86
1148,36787,1.776,2,87
1148,36788,1.776,2,88
1148,36789,2.308,2,89
1148,36790,2.308,2,90
1148,36791,2.356,2,91
1148,36792,2.356,2,92
1148,36793,2.186,2,93
1148,36794,2.186,2,94
1148,36795,4.478,2,95
1148,36796,4.478,2,96
1148,36801,1.958,3,1
1148,36802,1.958,3,2
1148,36803,2.046,3,3
1148,36804,2.046,3,4
