meter_id,five_digit_code,consumption_kW,date,time
1019,36601,1.91,1,1
1019,36602,1.91,1,2
1019,36603,1.632,1,3
1019,36604,1.632,1,4
1019,36605,1.264,1,5
1019,36606,1.264,1,6
1019,36607,1.434,1,7
1019,36608,1.434,1,8
1019,36609,1.12,1,9
1019,36610,1.12,1,10
1019,36611,2.748,1,11
1019,36612,2.748,1,12
1019,36613,0.76,1,13
1019,36614,0.76,1,14
1019,36615,2.886,1,15
1019,36616,2.886,1,16
1019,36617,0.844,1,17
1019,36618,0.844,1,18
1019,36619,0.72,1,19
1019,36620,0.72,1,20
1019,36621,0.682,1,21
1019,36622,0.682,1,22
1019,36623,0.438,1,23
1019,36624,0.438,1,24
1019,36625,0.642,1,25
1019,36626,0.642,1,26
1019,36627,0.788,1,27
1019,36628,0.788,1,28
1019,36629,0.706,1,29
1019,36630,0.706,1,30
1019,36631,0.74,1,31
1019,36632,0.74,1,32
1019,36633,0.552,1,33
1019,36634,0.552,1,34
1019,36635,1.342,1,35
1019,36636,1.342,1,36
1019,36637,3.596,1,37
1019,36638,3.596,1,38
1019,36639,2.048,1,39
1019,36640,2.048,1,40
1019,36641,0.824,1,41
1019,36642,0.824,1,42
1019,36643,0.692,1,43
1019,36644,0.692,1,44
1019,36645,0.962,1,45
1019,36646,0.962,1,46
1019,36647,6.524,1,47
1019,36648,6.524,1,48
1019,36649,4.518,1,49
1019,36650,4.518,1,50
1019,36651,5.928,1,51
1019,36652,5.928,1,52
1019,36653,5.458,1,53
1019,36654,5.458,1,54
1019,36655,1.832,1,55
1019,36656,1.832,1,56
1019,36657,2.22,1,57
1019,36658,2.22,1,58
1019,36659,1.052,1,59
1019,36660,1.052,1,60
1019,36661,0.622,1,61
1019,36662,0.622,1,62
1019,36663,4.128,1,63
1019,36664,4.128,1,64
1019,36665,2.82,1,65
1019,36666,2.82,1,66
1019,36667,3.902,1,67
1019,36668,3.902,1,68
1019,36669,7.554,1,69
1019,36670,7.554,1,70
1019,36671,11.174,1,71
1019,36672,11.174,1,72
1019,36673,6.186,1,73
1019,36674,6.186,1,74
1019,36675,1.45,1,75
1019,36676,1.45,1,76
1019,36677,1.552,1,77
1019,36678,1.552,1,78
1019,36679,2.158,1,79
1019,36680,2.158,1,80
1019,36681,2.522,1,81
1019,36682,2.522,1,82
1019,36683,1.632,1,83
1019,36684,1.632,1,84
1019,36685,3.126,1,85
1019,36686,3.126,1,86
1019,36687,2.558,1,87
1019,36688,2.558,1,88
1019,36689,1.224,1,89
1019,36690,1.224,1,90
1019,36691,1.184,1,91
1019,36692,1.184,1,92
1019,36693,1.548,1,93
1019,36694,1.548,1,94
1019,36695,1.384,1,95
1019,36696,1.384,1,96
1019,36701,1.296,2,1
1019,36702,1.296,2,2
1019,36703,1.384,2,3
1019,36704,1.384,2,4
1019,36705,1.214,2,5
1019,36706,1.214,2,6
1019,36707,0.992,2,7
1019,36708,0.992,2,8
1019,36709,2.564,2,9
1019,36710,2.564,2,10
1019,36711,1.86,2,11
1019,36712,1.86,2,12
1019,36713,1.958,2,13
1019,36714,1.958,2,14
1019,36715,0.842,2,15
1019,36716,0.842,2,16
1019,36717,0.792,2,17
1019,36718,0.792,2,18
1019,36719,0.698,2,19
1019,36720,0.698,2,20
1019,36721,0.722,2,21
1019,36722,0.722,2,22
1019,36723,0.524,2,23
1019,36724,0.524,2,24
1019,36725,0.52,2,25
1019,36726,0.52,2,26
1019,36727,0.754,2,27
1019,36728,0.754,2,28
1019,36729,0.94,2,29
1019,36730,0.94,2,30
1019,36731,0.862,2,31
1019,36732,0.862,2,32
1019,36733,0.726,2,33
1019,36734,0.726,2,34
1019,36735,0.818,2,35
1019,36736,0.818,2,36
1019,36737,1.664,2,37
1019,36738,1.664,2,38
1019,36739,1.678,2,39
1019,36740,1.678,2,40
1019,36741,2.182,2,41
1019,36742,2.182,2,42
1019,36743,0.986,2,43
1019,36744,0.986,2,44
1019,36745,0.82,2,45
1019,36746,0.82,2,46
1019,36747,0.44,2,47
1019,36748,0.44,2,48
